path_count,dt,avg,std,time
10,0.00800,0.49,0.25,94
10,0.00900,0.48,0.23,93
10,0.01000,0.69,0.42,102
10,0.01100,0.55,0.38,110
10,0.01200,0.58,0.36,78
10,0.01300,0.37,0.11,85
10,0.01400,0.62,0.52,77
10,0.01500,0.58,0.35,85
10,0.01600,0.73,0.47,94
10,0.01700,0.51,0.39,77
10,0.01800,0.50,0.23,77
10,0.01900,0.50,0.18,76
10,0.02000,0.53,0.19,77
11,0.00100,0.20,0.10,183
11,0.00200,0.32,0.17,151
11,0.00300,0.37,0.31,142
11,0.00400,0.29,0.15,109
11,0.00500,0.57,0.33,159
11,0.00600,0.46,0.41,102
11,0.00700,0.33,0.13,85
11,0.00800,0.51,0.29,85
11,0.00900,0.42,0.29,110
11,0.01000,0.41,0.13,77
11,0.01100,0.52,0.28,101
11,0.01200,0.68,0.32,93
11,0.01300,0.76,0.53,93
11,0.01400,0.56,0.23,85
11,0.01500,0.42,0.19,85
11,0.01600,0.54,0.20,78
11,0.01700,0.53,0.24,86
11,0.01800,0.64,0.36,78
11,0.01900,0.64,0.34,77
11,0.02000,0.50,0.20,75
12,0.00100,0.17,0.06,151
12,0.00200,0.22,0.16,119
12,0.00300,0.39,0.21,143
12,0.00400,0.32,0.14,101
12,0.00500,0.45,0.32,125
12,0.00600,0.43,0.16,102
12,0.00700,0.40,0.14,102
12,0.00800,0.43,0.19,95
12,0.00900,0.41,0.20,93
12,0.01000,0.48,0.29,101
12,0.01100,0.58,0.38,126
12,0.01200,0.42,0.23,102
12,0.01300,0.70,0.57,102
12,0.01400,0.56,0.22,94
12,0.01500,0.52,0.28,93
12,0.01600,0.61,0.41,102
12,0.01700,0.61,0.22,94
12,0.01800,0.62,0.24,94
12,0.01900,0.75,0.49,102
12,0.02000,0.50,0.24,93
13,0.00100,0.25,0.21,322
13,0.00200,0.35,0.27,208
13,0.00300,0.38,0.37,226
13,0.00400,0.48,0.21,151
13,0.00500,0.41,0.18,111
13,0.00600,0.37,0.16,101
13,0.00700,0.53,0.20,93
13,0.00800,0.71,0.53,126
13,0.00900,0.48,0.26,96
13,0.01000,0.44,0.24,94
13,0.01100,0.58,0.38,101
13,0.01200,0.61,0.26,93
13,0.01300,0.72,0.57,118
13,0.01400,0.54,0.39,86
13,0.01500,0.62,0.34,93
13,0.01600,0.64,0.39,102
13,0.01700,0.78,0.45,102
13,0.01800,0.63,0.49,102
13,0.01900,0.54,0.23,85
13,0.02000,0.49,0.20,99
14,0.00100,0.25,0.09,192
14,0.00200,0.27,0.21,183
14,0.00300,0.31,0.18,134
14,0.00400,0.36,0.16,110
14,0.00500,0.38,0.26,110
14,0.00600,0.35,0.12,102
14,0.00700,0.42,0.16,93
14,0.00800,0.49,0.34,101
14,0.00900,0.48,0.33,110
14,0.01000,0.41,0.22,94
14,0.01100,0.60,0.37,102
14,0.01200,0.63,0.56,93
14,0.01300,0.57,0.28,85
14,0.01400,0.50,0.19,93
14,0.01500,0.57,0.29,102
14,0.01600,0.65,0.38,94
14,0.01700,0.57,0.46,93
14,0.01800,0.53,0.34,94
14,0.01900,0.63,0.53,110
14,0.02000,0.65,0.39,103
15,0.00100,0.18,0.07,151
15,0.00200,0.30,0.16,151
15,0.00300,0.27,0.15,118
15,0.00400,0.35,0.18,100
15,0.00500,0.47,0.28,118
15,0.00600,0.55,0.27,118
15,0.00700,0.45,0.23,127
